year,state,fips,deaths,population,crude,adjusted,adjusted_se,region,abbr,division_name
2001,Kentucky,21,144,4068132,3.5,3.5,0.3,South,KY,East South Central
2001,Louisiana,22,81,4477875,1.8,1.8,0.2,South,LA,West South Central
2001,Maine,23,55,1285692,4.3,4.3,0.6,Northeast,ME,New England
2001,Maryland,24,489,5374691,9.1,8.8,0.4,South,MD,South Atlantic
2001,Massachusetts,25,500,6397634,7.8,7.6,0.3,Northeast,MA,New England
2001,Michigan,26,192,9991120,1.9,1.9,0.1,Midwest,MI,East North Central
2001,Minnesota,27,96,4982796,1.9,1.9,0.2,Midwest,MN,West North Central
2001,Mississippi,28,26,2852994,0.9,0.9,0.2,South,MS,East South Central
2001,Missouri,29,132,5641142,2.3,2.4,0.2,Midwest,MO,West North Central
2001,Montana,30,20,906961,2.2,2.3,0.5,West,MT,Mountain
2001,Nebraska,31,32,1719836,1.9,1.9,0.3,Midwest,NE,West North Central
2001,Nevada,32,182,2098399,8.7,8.5,0.6,West,NV,Mountain
2001,New Hampshire,33,53,1255517,4.2,4.1,0.6,Northeast,NH,New England
2001,New Jersey,34,397,8492671,4.7,4.6,0.2,Northeast,NJ,Middle Atlantic
2001,New Mexico,35,151,1831690,8.2,8.4,0.7,West,NM,Mountain
2001,New York,36,611,19082838,3.2,3.2,0.1,Northeast,NY,Middle Atlantic
2001,North Carolina,37,338,8210122,4.1,4.1,0.2,South,NC,South Atlantic
2001,Ohio,39,336,11387404,3,3,0.2,Midwest,OH,East North Central
2001,Oklahoma,40,156,3467100,4.5,4.6,0.4,South,OK,West South Central
2001,Oregon,41,147,3467937,4.2,4.2,0.3,West,OR,Pacific
2001,Pennsylvania,42,252,12298970,2,2.1,0.1,Northeast,PA,Middle Atlantic
2001,Rhode Island,44,78,1057142,7.4,7.4,0.8,Northeast,RI,New England
2001,South Carolina,45,83,4064995,2,2,0.2,South,SC,South Atlantic
2001,Tennessee,47,136,5750789,2.4,2.4,0.2,South,TN,East South Central
2001,Texas,48,561,21319622,2.6,2.6,0.1,South,TX,West South Central
2001,Utah,49,157,2283715,6.9,7.8,0.6,West,UT,Mountain
2001,Vermont,50,31,612223,5.1,5,0.9,Northeast,VT,New England
2001,Virginia,51,312,7198362,4.3,4.2,0.2,South,VA,South Atlantic
2001,Washington,53,324,5985722,5.4,5.3,0.3,West,WA,Pacific
2001,West Virginia,54,138,1801481,7.7,7.9,0.7,South,WV,South Atlantic
2001,Wisconsin,55,140,5406835,2.6,2.6,0.2,Midwest,WI,East North Central
2002,Alabama,1,71,4480089,1.6,1.6,0.2,South,AL,East South Central
2002,Arizona,4,320,5396255,5.9,6.2,0.3,West,AZ,Mountain
2002,Arkansas,5,90,2705927,3.3,3.5,0.4,South,AR,West South Central
2002,California,6,1453,34871843,4.2,4.2,0.1,West,CA,Pacific
